科目名,単位数,評価ポイント,合否科目,教職科目
AIプログラミング入門,1,S,False,False
AI基礎,1,S,False,False
ICT入門,1,S,False,False
IoT基礎,1,S,False,False
アルゴリズムデザイン,2,B,False,False
イングリッシュトピックス1,2,A,False,False
イングリッシュトピックス2,2,S,False,False
コンピュータシステム基礎,2,S,False,False
データサイエンス入門,1,S,False,False
データサイエンス基礎Ⅰ,1,S,False,False
ネットワークセキュリティ,1,S,False,False
プログラミングⅠ,2,S,False,False
プログラミングⅡ,1,S,False,False
プログラミングⅢ,1,S,False,False
プロジェクトデザインⅠ,2,S,False,False
プロジェクトデザイン入門,2,S,False,False
人間と自然,0,合,True,False
企業の組織と戦略,2,A,False,False
修学基礎A,2,S,False,False
修学基礎B,2,S,False,False
健康・体力づくり,1,S,False,False
初歩からの物理,2,B,False,False
実践ウェルビーイング,1,合,True,False
情報ネットワーク,2,A,False,False
情報工学大意,2,S,False,False
情報工学系代数学,2,B,False,False
技術者のための数理Ⅰ,2,S,False,False
技術者のための数理Ⅱ,2,S,False,False
教師入門セミナー,2,A,False,True
最適化の数理,1,合,True,False
理工系大学での学びとキャリアデザイン,1,合,True,False
生涯スポーツ演習,1,S,False,False
線形代数学,2,S,False,False
論理回路,2,S,False,False
離散数学,2,S,False,False
